,Rank,Release Group,Worldwide,Domestic,%,Foreign,%
34,35,Unhinged,"$44,331,465 ","$20,831,465 ",47%,"$23,500,000 ",53%
35,36,The End of Endless Love,"$43,950,000 ",-,-,"$43,950,000 ",100%
36,37,The War with Grandpa,"$43,387,445 ","$21,277,892 ",49%,"$22,109,553 ",51%
37,38,Peninsula,"$42,698,327 ","$1,231,407 ",2.90%,"$41,466,920 ",97.10%
38,39,Monster Hunter,"$42,145,959 ","$15,162,470 ",36%,"$26,983,489 ",64%
39,40,Underwater,"$40,882,928 ","$17,291,078 ",42.30%,"$23,591,850 ",57.70%
40,41,Bloodshot,"$39,861,118 ","$12,561,824 ",31.50%,"$27,299,294 ",68.50%
41,42,Sarileru Neekevvaru,"$37,389,889 ","$821,000 ",2.20%,"$36,568,889 ",97.80%
42,43,New Interpretation Records of the Three Kingdoms,"$36,747,486 ",-,-,"$36,747,486 ",100%
43,44,The Confidence Man JP: Princess,"$36,109,913 ",-,-,"$36,109,913 ",100%
44,45,Black Panther 2020 Re-release,"$35,335,665 ","$367,000 ",1%,"$34,968,665 ",99%
45,46,The Man Standing Next,"$34,664,900 ","$113,527 ",0.30%,"$34,551,373 ",99.70%
46,47,My Mom is a Character 3,"$34,360,029 ",-,-,"$34,360,029 ",100%
47,48,Doraemon the Movie: Nobita's New Dinosaur,"$33,942,341 ",-,-,"$33,942,341 ",100%
48,49,Deliver Us from Evil,"$33,718,703 ",-,-,"$33,718,703 ",100%
49,50,Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,501,815 ",-,-,"$31,501,815 ",100%
50,51,Honest Thief,"$31,220,247 ","$14,163,574 ",45.40%,"$17,056,673 ",54.60%
51,52,Like a Boss,"$30,399,490 ","$22,169,514 ",72.90%,"$8,229,976 ",27.10%
52,53,The Witches,"$29,333,671 ","$203,571 ",0.70%,"$29,130,100 ",99.30%
53,54,Bath Buddy,"$28,700,000 ",-,-,"$28,700,000 ",100%
54,55,Scoob!,"$28,559,165 ","$2,188,425 ",7.70%,"$26,370,740 ",92.30%
55,56,Ala Vaikunthapurramuloo,"$28,477,890 ",-,-,"$28,477,890 ",100%
56,57,Emma.,"$26,404,660 ","$10,055,355 ",38.10%,"$16,349,305 ",61.90%
57,58,Leap,"$25,818,882 ","$83,074 ",0.30%,"$25,735,808 ",99.70%
58,59,The Father,"$24,708,071 ","$2,122,771 ",8.60%,"$22,585,300 ",91.40%
59,60,Interstellar 2020 Re-release,"$23,771,122 ",-,-,"$23,771,122 ",100%
60,61,Poupelle of Chimney Town,"$22,715,146 ",-,-,"$22,715,146 ",100%
61,62,Gretel & Hansel,"$22,304,357 ","$15,347,654 ",68.80%,"$6,956,703 ",31.20%
62,63,Stigmatized Properties,"$21,276,720 ",-,-,"$21,276,720 ",100%
63,64,Pokémon the Movie: Secrets of the Jungle,"$21,097,921 ",-,-,"$21,097,921 ",100%
64,65,The Photograph,"$20,690,779 ","$20,578,185 ",99.50%,"$112,594 ",0.50%
65,66,Yarn,"$20,474,270 ",-,-,"$20,474,270 ",100%
66,67,Violet Evergarden: The Movie,"$20,339,624 ",-,-,"$20,339,624 ",100%
67,68,Brahms: The Boy II,"$20,311,536 ","$12,611,536 ",62.10%,"$7,700,000 ",37.90%
68,69,Ice 2,"$19,788,995 ",-,-,"$19,788,995 ",100%
69,70,Soul Snatcher,"$19,561,221 ",-,-,"$19,561,221 ",100%
70,71,The Turning,"$19,428,166 ","$15,472,775 ",79.60%,"$3,955,391 ",20.40%
71,72,Fate/stay night [Heaven's Feel] III. spring song,"$19,252,497 ","$200,000 ",1%,"$19,052,497 ",99%
72,73,Promising Young Woman,"$18,854,166 ","$6,460,965 ",34.30%,"$12,393,201 ",65.70%
73,74,Takizawa Enbujo Zero,"$18,091,395 ",-,-,"$18,091,395 ",100%
74,75,Freaky,"$18,073,433 ","$9,030,855 ",50%,"$9,042,578 ",50%
75,76,The Promised Neverland,"$17,710,977 ",-,-,"$17,710,977 ",100%
76,77,Kaiji: Final Game,"$17,645,779 ",-,-,"$17,645,779 ",100%
77,78,Hitman: Agent Jun,"$17,601,351 ",-,-,"$17,601,351 ",100%
78,79,Digimon Adventure: Last Evolution Kizuna,"$17,361,009 ",-,-,"$17,361,009 ",100%
79,80,Moana 2020 Re-release,"$17,017,264 ",-,-,"$17,017,264 ",100%
80,81,Bye Bye Morons,"$16,955,924 ",-,-,"$16,955,924 ",100%
81,82,Baaghi 3,"$16,726,510 ","$721,439 ",4.30%,"$16,005,071 ",95.70%
82,83,I Still Believe,"$16,069,730 ","$9,868,521 ",61.40%,"$6,201,209 ",38.60%
83,84,The Way Back,"$15,480,704 ","$13,590,514 ",87.80%,"$1,890,190 ",12.20%
84,85,Padre no hay más que uno 2: La llegada de la suegra,"$15,373,181 ",-,-,"$15,373,181 ",100%
